year,Africa,Asia,Europe,North_America,South_America,Ocieana,World
1750,0,0,9305937,0,0,0,9305937
1751,0,0,9407229,0,0,0,9407229
1752,0,0,9505168,0,0,0,9505168
1753,0,0,9610490,0,0,0,9610490
1754,0,0,9733580,0,0,0,9733580
1755,0,0,9793468,0,0,0,9793468
1756,0,0,9909914,0,0,0,9909914
1757,0,0,10093936,0,0,0,10093936
1758,0,0,10216358,0,0,0,10216358
1759,0,0,10338854,0,0,0,10338854
1760,0,0,10514331,0,0,0,10514331
1761,0,0,10747885,0,0,0,10747885
1762,0,0,10952198,0,0,0,10952198
1763,0,0,11191592,0,0,0,11191592
1764,0,0,11396982,0,0,0,11396982
1765,0,0,11643486,0,0,0,11643486
1766,0,0,11876080,0,0,0,11876080
1767,0,0,12152509,0,0,0,12152509
1768,0,0,12466936,0,0,0,12466936
1769,0,0,12780074,0,0,0,12780074
1770,0,0,13097216,0,0,0,13097216
1771,0,0,13369488,0,0,0,13369488
1772,0,0,13623507,0,0,0,13623507
1773,0,0,13808138,0,0,0,13808138
1774,0,0,14012415,0,0,0,14012415
1775,0,0,14338920,0,0,0,14338920
1776,0,0,14654124,0,0,0,14654124
1777,0,0,14959537,0,0,0,14959537
1778,0,0,15243483,0,0,0,15243483
1779,0,0,15535235,0,0,0,15535235
1780,0,0,15878726,0,0,0,15878726
1781,0,0,16234383,0,0,0,16234383
1782,0,0,16580954,0,0,0,16580954
1783,0,0,17062752,0,0,0,17062752
1784,0,0,17471092,0,0,0,17471092
1785,0,0,17961464,3664,0,0,17965128
1786,0,0,18443832,3664,0,0,18447496
1787,0,0,18855466,3664,0,0,18859130
1788,0,0,19282564,3664,0,0,19286228
1789,0,0,19859760,3664,0,0,19863424
1790,0,0,20394430,3664,0,0,20398094
1791,0,0,20928086,3664,0,0,20931750
1792,0,0,21925550,3664,0,0,21929214
1793,0,0,22293598,3664,0,0,22297260
1794,0,0,22515992,3664,0,0,22519656
1795,0,0,22311582,3664,0,0,22315246
1796,0,0,22117712,3664,0,0,22121374
1797,0,0,22086414,3664,0,0,22090078
1798,0,0,23102266,3664,0,0,23105928
1799,0,0,27481544,3664,0,0,27485206
1800,0,0,32541872,256479.98,0,0,32798352
1801,0,0,31714914,271136,0,0,31986050
1802,0,0,40017350,293120,0,0,40310476
1803,0,0,29238058,300448,0,0,29538506
1804,0,0,31432090,337088,0,0,31769176
1805,0,0,30907166,344416,0,236,31251818
1806,0,0,32366874,337088,0,661,32704620
1807,0,0,35818970,381056,0,629,36200652
1808,0,0,35101290,395712,0,787,35497788
1809,0,0,35925850,406704,0,1259,36333812
1810,0,0,39069692,421360,0,1259,39492310
1811,0,0,39723810,450672,0,2203,40176680
1812,0,0,40325010,487312,0,2203,40814520
1813,0,0,40679356,523952,0,2832,41206140
1814,0,0,41658940,564256,0,3451,42226650
1815,0,0,42979950,604560,0,2753,43587264
1816,0,0,44827450,666848,0,2281,45496580
1817,0,0,48552070,721808,0,2045,49275920
1818,0,0,50606024,784096,0,1888,51392010
1819,0,0,50160850,765776,0,3540,50930170
1820,0,0,49931828,795088,0,6160,50733076
1821,0,0,51224476,831728,0,3147,52059348
1822,0,0,53149412,868368,0,3934.0002,54021710
1823,0,0,55448036,905008,0,4720,56357760
1824,0,0,56560324,1018592,0,4720,57583636
1825,0,0,59588492,1139504,0,2870,60730864
1826,0,0,60056732,1319040,0,6360,61382130
1827,0,0,64281724,1450944,0,5902,65738572
1828,0,0,65080500,1597504,0,3786,66681790
1829,0,0,64502350,1799024,0,6031,66307412
1830,0,2126,86888240,2092144,0,5748,88988260
1831,0,2553,80978620,2268016,0,1421,83250616
1832,0,1701,79052150,3026464,0,11239,82091560
1833,0,2126,79703760,3532096,0,10718,83248700
1834,0,0,85364220,3385536,0,13358,88763100
1835,0,0,93060240,4319856,0,19498,97399600
1836,0,0,102140710,4733888,0,19897,106894500
1837,0,0,100864980,5309136,0,25305,106199420
1838,0,0,100783830,5034336,0,27094,105845260
1839,0,0,104097896,5521648,0,33487,109653030
1840,0,0,112883860,5877056,0,47605,118808510
1841,0,0,115892920,6217808,0,54819,122165550
1842,0,0,122404710,6921296,0,62779,129388790
1843,0,0,124561020,7767680,0,40692,132369384
1844,0,0,132595670,9310224,0,36374,141942270
1845,0,0,143794050,11208176,0,35125,155037360
1846,0,0,144858750,12736064,0,61308,157656130
1847,0,0,155573810,15103008,0,64088,170740910
1848,0,0,156683300,16825088,0,71507,173579870
1849,0,0,166586960,18268704,0,76336,184931980
1850,0,13187,176775170,19851552,0,112052,196751970
1851,0,0,173859040,24702688,0,106379,198668110
1852,0,0,180432720,26875440,0,106055,207414200
1853,0,0,186703490,30264640,0,152321,217120430
1854,0,0,221565870,33283774,0,183526,255033170
1855,0,39987,221537950,38310784,0,215678,260104400
1856,0,0,236781490,40216064,0,298886,277296450
1857,0,0,238329620,41271296,0,331100,279932000
1858,0,450641,241521540,41912496,0,340483,284225150
1859,0,696040,254665150,45635120,0,484948,301481250
1860,0,730781,281813200,47818864,0,599769,330962600
1861,0,608614,300479550,46137090,0,560575,347785820
1862,0,650756,305041120,48009390,0,787635,354488900
1863,0,715165,321231260,55513264,0,720450,378180160
1864,0,694808,346628300,59499696,0,903160,407725980
1865,0,829874,371215300,59840450,0,973508,432859140
1866,0,1204999,383594200,60474320,0,1280060,446553600
1867,0,636119,401824960,74459810,0,1239852,478160740
1868,0,527105,406195200,83297380,0,1532259,491551940
1869,0,747343,425361200,94380980,0,1464684,521954200
1870,0,676755,431415100,99844000,0,1402391,533338270
1871,0,899720,459749340,104801390,0,1440910,566891300
1872,0,972686,496539900,128152060,0,1636610,627301250
1873,0,930038,522505340,141115300,0,1930549,666481200
1874,0,1633613,484553570,135919740,0,2125629,624232500
1875,0,2702004,534645570,137623500,0,2142736,677113860
1876,0,2808297,547136100,134677660,0,2158161,686780200
1877,0,2890141,545944060,149198080,0,2372097,700404400
1878,0,5458039,551760260,145838190,0,2917052,705973570
1879,0,5671325,569583000,177652700,0,3083507,755990460
1880,0,6189085,640737540,203916430,0,3073339,853916350
1881,0,6348237,657770100,215784160,0,3641577,883544060
1882,0,6876694,680194400,242011140,0,4277829,933360100
1883,0,7604654,718762050,261313170,0,5073743,992753600
1884,21984,8188970,714139650,276189000,3664,5590824,1004134100
1885,36640,8536283,716654460,280406270,3664,5999834,1011637100
1886,47632,9111720,715981300,296260400,7328,6009109,1027417500
1887,47632,10535128,743280800,317530100,1091872,6261250,1078746900
1888,80608,11715276,787500400,387186430,897680,6972248,1194352600
1889,131904,13780681,824552260,346834850,1762384,7562008,1194624000
1890,296784,15084545,862566300,414160930,1381328,6872483,1300362400
1891,296784,17201384,893004000,441886400,985616,8375925,1361750100
1892,479984,18272584,879312830,464918340,1450944,7961785,1372396500
1893,1799024,20411456,854870100,469480000,1601168,7315646,1355477200
1894,2432896,22746340,927907600,439768640,2033520,8130214,1403019100
1895,3337904,26302372,952615700,493973900,2828608,8373957,1487432300
1896,4257568,28028198,996152960,496110050,2879904,8936921,1536365600
1897,4777856,30485036,1045652100,515774850,2758992,9782685,1609231600
1898,6049264,36486296,1079152100,561765500,3176688,10536444,1697166300
1899,5517984,38644710,1149499400,645458800,3715296,10873019,1853709200
1900,2330304,43998036,1205740700,684367040,3165696,12607824,1952209500
1901,3909488,50358500,1195211300,746684540,6401008,14179680,2016744400
1902,5825760,52400960,1196072700,791569000,7379296,14436160,2067683800
1903,7895920,55056710,1245153500,923924100,7676080,14393768,2254100200
1904,8910848,61901096,1268420100,916872800,8665360,14977158,2279747300
1905,10262864,62997452,1305678100,1023576770,9211296,15591857,2427318300
1906,11717472,70275550,1347412200,1074778600,12329360,18219918,2534733000
1907,12930256,97189900,1492824000,1253116700,12684768,19572344,2888318000
1908,13402912,105978184,1517238000,1103991600,14886832,20943384,2776440800
1909,15385136,109197390,1518849500,1214811100,13406576,18845024,2890495000
1910,17411328,110769210,1538628400,1327425200,17246448,22609452,3034089700
1911,16865392,117750040,1574126000,1327461900,19162720,24136106,3079502000
1912,17953600,119763160,1632516000,1419666800,19990784,26073290,3235963600
1913,19606064,137350700,1767390800,1533790300,21122960,27014900,3506275800
1914,19551104,142861780,1573950200,1396793000,17195152,30004424,3180355600
1915,19606064,136647150,1492850200,1443461200,15088352,27201164,3134854000
1916,23255408,149888400,1561168400,1613035600,13619088,24891626,3385858300
1917,25343888,161983650,1533407700,1782872800,10867424,25951116,3540426800
