time,apple_value,apple_volume,microsoft_value,microsoft_volume,walmart_value,walmart_volume,McDonalds_value,McDonalds_volume,tesla_value,tesla_volume,meta_value,meta_volume,bilibili_value,bilibili_volume,intel_value,intel_volume,amazon_value,amazon_volume,nvidia_value,nvidia_volume,IBM_value,IBM_volume,shopify_value,shopify_volume,telus_value,telus_volume,honda_value,honda_volume,general-motors_value,general-motors_volume,toyota_value,toyota_volume,ford_value,ford_volume,sony_value,sony_volume,dell_value,dell_volume,netflix_value,netflix_volume,alphabet_value,alphabet_volume,spotify_value,spotify_volume,roku_value,roku_volume,disney_value,disney_volume,paramount_value,paramount_volume,door-dash_value,door-dash_volume,zoom_value,zoom_volume,black-rock_value,black-rock_volume,shell_value,shell_volume,general-electric_value,general-electric_volume,phizer_value,phizer_volume,costco_value,costco_volume,boeing_value,boeing_volume,target_value,target_volume,snap_value,snap_volume,pintrest_value,pintrest_volume,warner-bros_value,warner-bros_volume,best-buy_value,best-buy_volume,cloudflare_value,cloudflare_volume,datadog_value,datadog_volume,crowdstrike-holdings_value,crowdstrike-holdings_volume,snowflake_value,snowflake_volume,gitlab_value,gitlab_volume,zscaler_value,zscaler_volume,fastly_value,fastly_volume,okta_value,okta_volume,duolingo_value,duolingo_volume,nike_value,nike_volume,visa_value,visa_volume,mastercard_value,mastercard_volume,paypal_value,paypal_volume,saleforce_value,saleforce_volume,american-express_value,american-express_volume,adobe_value,adobe_volume,caterpiller_value,caterpiller_volume,servicenow_value,servicenow_volume,workday_value,workday_volume,autodesk_value,autodesk_volume,atlassian_value,atlassian_volume,hasbro_value,hasbro_volume,mattel_value,mattel_volume,bp_value,bp_volume,exxon-mobile_value,exxon-mobile_volume,J-and-J_value,J-and-J_volume,chevron_value,chevron_volume,suncor_value,suncor_volume,amgen_value,amgen_volume,biogen_value,biogen_volume,regeneron-pharmaceuticals_value,regeneron-pharmaceuticals_volume,vertex-pharmaceuticals_value,vertex-pharmaceuticals_volume,madrigal-pharmaceuticals_value,madrigal-pharmaceuticals_volume,biomarin-pharmaceuticals_value,biomarin-pharmaceuticals_volume,incyte_value,incyte_volume,exelixis_value,exelixis_volume,new-york-times_value,new-york-times_volume
02.01.1962,,,,,,,,,,,,,,,,,,,,,6.845124,6087720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.667890,4557859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.1962,,,,,,,,,,,,,,,,,,,,,6.790950,5687625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.808631,4625005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.1962,,,,,,,,,,,,,,,,,,,,,5.787126,13516935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.284764,5507480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.1962,,,,,,,,,,,,,,,,,,,,,5.003187,51659325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.112747,9710430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.1962,,,,,,,,,,,,,,,,,,,,,4.324410,71679765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.721802,8046196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.1962,,,,,,,,,,,,,,,,,,,,,4.933078,43014135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.151842,5581017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.1962,,,,,,,,,,,,,,,,,,,,,5.050988,43351470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.284764,5197336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.1962,,,,,,,,,,,,,,,,,,,,,4.506055,34800420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.995464,4372411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.1962,,,,,,,,,,,,,,,,,,,,,4.410453,45014610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.237850,5689733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.1962,,,,,,,,,,,,,,,,,,,,,5.079669,38424810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.675709,5903953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
