time,oil_val,oil_vol,gold_val,gold_vol,copper_val,copper_vol,silver_val,silver_vol,platinum_val,platinum_vol
04.01.2009,51.12,1126103,891.20,365870,2.0475,57497,12.325,115265,1106.6,9161
05.01.2009,66.31,5254102,980.30,1999095,2.1975,299865,15.610,372817,1196.0,32932
06.01.2009,69.89,5806679,927.40,2083586,2.2720,423585,13.600,630591,1185.3,72336
07.01.2009,69.45,6285048,955.80,2083774,2.6235,404520,13.940,415669,1214.2,45154
08.01.2009,69.96,6181001,953.50,1615115,2.8265,497531,14.923,579198,1244.0,45844
09.01.2009,70.61,5938598,1009.30,2544135,2.8190,448050,16.658,595738,1302.9,89940
10.01.2009,77.00,7227331,1040.40,3022215,2.9555,508855,16.255,721216,1326.3,54647
11.01.2009,77.28,6674756,1182.30,3586587,3.1770,532603,18.525,848741,1460.2,59096
12.01.2009,79.36,5976252,1096.20,3771906,3.3465,385548,16.845,623073,1471.0,89646
01.01.2010,72.89,5809481,1083.80,3540074,3.0525,562481,16.190,683697,1506.0,83443
02.01.2010,79.66,6769263,1118.90,3364556,3.2840,707663,16.521,784520,1539.9,80773
03.01.2010,83.76,6836560,1114.50,3421185,3.5535,666883,17.526,666156,1646.9,128573
04.01.2010,86.15,7854674,1180.70,2729155,3.3535,679333,18.639,720283,1745.1,89490
05.01.2010,73.97,8794637,1215.00,3783858,3.1045,764746,18.422,825237,1549.4,130529
06.01.2010,75.63,7677057,1245.90,2660068,2.9505,722455,18.708,729807,1537.3,103549
07.01.2010,78.95,6459054,1183.90,2940464,3.3115,614857,18.003,576989,1576.8,70191
08.01.2010,71.92,7184119,1250.30,1959218,3.3700,679200,19.432,694184,1523.5,70916
09.01.2010,79.97,7253201,1309.60,2417530,3.6515,518755,21.821,700862,1658.6,131374
10.01.2010,81.43,7153402,1357.60,3428197,3.7335,700135,24.564,1208036,1707.1,97943
11.01.2010,84.11,7256146,1386.10,4290669,3.8255,814286,28.212,1781008,1666.4,148199
12.01.2010,91.38,5666635,1421.40,2627236,4.4470,567033,30.937,1151563,1778.2,134481
01.01.2011,92.19,7558122,1334.50,3473651,4.4585,692695,28.169,1305689,1800.9,121289
02.01.2011,96.97,6918082,1409.90,2516958,4.4965,727657,33.820,1257528,1809.2,93596
03.01.2011,106.72,7280735,1439.90,3595653,4.3075,808264,37.888,1555800,1788.2,181302
04.01.2011,113.93,5906063,1556.40,2912209,4.1790,726116,48.599,2192206,1865.5,103908
05.01.2011,102.70,8125668,1536.80,3970952,4.1775,776048,38.305,2215624,1834.0,110820
06.01.2011,95.42,7612897,1502.80,2858552,4.2825,805803,34.832,1374151,1726.1,156789
07.01.2011,95.70,5712768,1631.20,3261197,4.4795,650170,40.106,1227650,1785.3,94446
08.01.2011,88.81,8623260,1831.70,5780274,4.2045,944664,41.768,1455128,1856.2,181703
09.01.2011,79.20,6687717,1622.30,4914530,3.1520,1022577,30.083,1140501,1523.6,225845
10.01.2011,93.19,7300786,1725.20,2915970,3.6320,1138824,34.354,877091,1607.6,155588
11.01.2011,100.36,6520843,1750.30,3193206,3.5755,917619,32.804,963340,1560.8,130366
12.01.2011,98.83,4905263,1566.80,2687602,3.4360,716769,27.915,716591,1404.9,171981
01.01.2012,98.48,5618422,2740.40,3068083,3.7900,916737,33.262,750213,1588.1,146123
02.01.2012,107.07,5837415,1711.30,3233301,3.8795,1092060,34.642,1020370,1692.6,167447
03.01.2012,103.01,6022417,1671.90,3757583,3.8250,1030677,32.484,942214,1644.1,187756
04.01.2012,104.87,4682534,1664.20,2582641,3.8295,1173301,31.016,882600,1571.9,128610
05.01.2012,86.53,6008992,1562.20,3869538,3.3655,1314237,27.757,894758,1417.6,159134
06.01.2012,84.96,6321933,1604.20,3269604,3.4965,1249772,27.612,968455,1452.4,195969
07.01.2012,88.06,5496180,1614.60,2947416,3.4175,999194,27.914,694301,1416.9,124245
08.01.2012,96.47,5267722,1687.60,2558245,3.4570,1026096,31.442,836129,1537.3,191813
09.01.2012,92.19,4549667,1773.90,3160078,3.7580,984880,34.577,944220,1669.3,252220
10.01.2012,86.24,5239421,1719.10,2811777,3.5175,942137,32.316,733414,1577.0,193363
11.01.2012,88.91,5396754,1712.70,3341681,3.6500,1048448,33.279,976814,1604.6,177508
12.01.2012,91.81,3789627,1675.80,2451282,3.6525,729458,30.227,688222,1542.4,235494
01.01.2013,97.49,4376770,1662.00,3217555,3.7320,961002,31.351,850377,1675.4,273853
02.01.2013,92.05,4427942,1578.10,3309211,3.5475,988429,28.432,937532,1583.5,268392
03.01.2013,97.23,4416658,1595.70,2876324,3.4020,1039588,28.323,687921,1574.6,244797
04.01.2013,93.46,5520939,1472.10,4688008,3.1875,1572937,24.185,1424390,1507.2,260427
05.01.2013,91.97,5644803,1393.00,3895247,3.2925,1391163,22.243,970908,1461.8,217052
06.01.2013,96.56,5004466,1223.70,3251657,3.0575,1173091,19.470,1019065,1339.9,227667
07.01.2013,105.03,5446051,1313.00,3385058,3.1185,1136643,19.628,810007,1429.3,172717
08.01.2013,107.65,5353593,1396.10,3020890,3.2330,1146551,23.513,1179575,1576.1,192939
09.01.2013,102.33,4589286,1317.00,2946975,3.3230,811963,21.708,863732,1412.4,236200
10.01.2013,96.38,5269518,1323.70,3068560,3.3005,1090190,21.867,844796,1448.4,198943
11.01.2013,92.72,4225363,1250.60,2485262,3.2305,926134,19.981,829958,1585.85,162563
12.01.2013,98.42,3579830,1202.30,2458915,3.3965,790214,19.370,731380,1373.8,204060
01.01.2014,97.49,4087152,1239.80,2644261,3.1970,865807,19.120,771463,1375.7,196011
02.01.2014,102.59,3855218,1321.60,2271764,3.1875,743877,21.241,978774,1446.8,173000
03.01.2014,101.58,4615240,1283.80,3125338,3.0255,1194303,19.752,851341,1420.8,262090
04.01.2014,99.74,4637086,1295.90,2343503,3.0275,914874,19.174,912228,1427.9,166709
05.01.2014,102.71,4313381,1246.00,2651091,3.1235,738191,18.682,767794,1452.7,213908
06.01.2014,105.37,4132090,1322.00,2241939,3.2035,899594,21.056,991757,1482.9,267459
07.01.2014,98.17,5162628,1282.80,2773139,3.2310,883278,20.412,836160,1465.2,188549
08.01.2014,95.96,4564136,1287.40,2066410,3.1605,847402,19.492,816887,1424.7,162956
09.01.2014,91.16,5587239,1211.60,2798488,3.0075,938797,17.057,877173,1300.5,270276
10.01.2014,80.54,7247625,1171.60,3311792,3.0470,1078520,16.106,904153,1235.2,248496
11.01.2014,66.15,5901798,1175.20,3369610,2.8460,963411,15.489,974562,1211.3,192678
12.01.2014,53.27,6435702,1184.10,2909223,2.8255,799321,15.599,842695,1209.5,255339
01.01.2015,48.24,6782484,1279.30,3260869,2.4945,974714,17.208,846379,1238.2,225986
02.01.2015,49.76,8600409,1213.10,2220612,2.7400,1052015,16.558,805521,1185.6,185998
03.01.2015,47.60,7740929,1183.20,3181209,2.7400,1052015,16.598,742203,1143.4,288356
04.01.2015,59.63,7594982,1182.40,2710502,2.8865,962402,16.153,941979,1140.4,201173
05.01.2015,60.30,6071200,1189.80,2681327,2.7280,847408,16.701,770997,1111.5,198370
06.01.2015,59.47,6182269,1171.80,2518652,2.6150,1039281,15.581,1022322,1079.5,293518
07.01.2015,47.12,6771643,1095.10,3253524,2.3635,1172803,14.745,840600,985.0,240198
08.01.2015,49.20,8299255,1132.50,3042490,2.3375,1171076,14.586,1058907,1010.5,248657
09.01.2015,45.09,7957089,1115.20,2521070,2.3410,1008718,14.518,744254,909.1,295597
10.01.2015,46.59,7992673,1141.40,2729916,2.3175,968952,15.567,960263,989.1,261331
11.01.2015,41.65,7959275,1065.30,2848975,2.0485,1149927,14.068,892433,832.9,233962
12.01.2015,37.04,8581051,1060.20,2416921,2.1350,899301,13.803,773559,893.2,290571
01.01.2016,33.62,10353997,1116.40,2957651,2.0670,1081682,14.243,823973,874.3,259299
02.01.2016,33.75,11452422,1234.40,3861812,2.1325,1131854,14.918,1134200,934.3,244722
03.01.2016,38.34,11252407,1235.60,4370652,2.1830,1302739,15.464,1062313,977.5,299898
04.01.2016,45.92,12290430,1290.50,3471653,2.2835,1348037,17.819,1347325,1078.4,231849
05.01.2016,45.92,12290430,1214.80,4028954,2.0955,1281789,15.994,1053854,980.4,228772
06.01.2016,49.10,11641370,1320.60,4280983,2.1955,1483270,18.623,1274201,1024.3,316929
07.01.2016,48.33,10576910,1357.50,4254191,2.2215,1266605,20.347,1323979,1150.6,262982
08.01.2016,41.60,9594050,1311.40,3769633,2.0775,1284528,18.707,1436972,1053.5,252580
09.01.2016,44.70,11719449,1317.10,3440259,2.2105,1132781,19.214,1205051,1034.5,329498
10.01.2016,48.24,12732986,1273.10,3253985,2.2050,1256686,17.796,1174335,978.6,282827
11.01.2016,46.86,11203883,1173.90,5515397,2.6330,2597679,16.482,1693706,909.9,337026
12.01.2016,49.44,13897238,1151.70,3124860,2.5055,1264073,15.989,1033781,905.7,310323
01.01.2017,53.72,10550815,1211.40,4633456,2.5055,1264073,17.543,1262012,996.5,326401
02.01.2017,52.81,10631278,1253.90,3999543,2.7275,1320923,18.469,1267609,1031.0,265329
03.01.2017,69.96,9382612,1251.20,4739042,2.7140,1417718,18.256,1346133,952.4,382486
04.01.2017,50.60,13072707,1268.30,4271306,2.6525,1504598,17.262,1476217,948.7,268000
05.01.2017,49.33,10425971,1275.40,5002768,2.6075,1536839,17.496,1688638,950.3,329059
06.01.2017,48.32,14606934,1242.30,4467649,2.5800,1544282,16.627,1724670,926.4,393746
07.01.2017,46.04,15974636,1273.40,4480099,2.7110,1531833,16.786,1675203,940.7,302571
08.01.2017,50.17,15411812,1322.20,6248937,3.0985,2040478,17.575,1982875,998.5,368442
09.01.2017,47.23,18110208,1284.80,6621294,2.9550,2038750,16.676,1605939,915.5,378146
10.01.2017,51.67,12999749,1270.50,6263316,3.1010,2083707,16.693,1693908,919.6,327723
11.01.2017,54.38,12980525,1276.70,6829622,3.0640,2.158513,16.474,1875050,942.5,360997
12.01.2017,57.40,13075115,1309.30,4692527,3.3005,2030264,17.145,1249363,938.3,414125
01.01.2018,60.42,9688273,1343.10,6962188,3.1955,2292057,17.241,1995151,1004.3,422993
02.01.2018,64.73,13395637,1317.90,5518170,3.1325,2103049,16.407,1584911,988.1,328033
03.01.2018,61.64,12611332,1327.30,6026882,3.0255,2088615,16.268,1624155,932.6,419683
04.01.2018,64.94,13034210,1319.20,6112544,3.0740,2158533,16.401,1897457,904.4,403484
05.01.2018,68.57,13646721,1304.70,6812642,3.0650,2132167,16.458,1538085,910.1,365902
06.01.2018,67.04,15719089,1254.50,5245642,2.9660,2428158,16.198,1808380,857.7,477648
07.01.2018,74.15,13625467,1233.60,5613947,2.8315,2356640,15.559,1429373,845.8,380202
08.01.2018,68.76,11593700,1206.70,5849482,2.6710,2343334,14.557,1705541,787.1,390222
09.01.2018,69.80,10740897,1196.20,5066109,2.8050,1941212,14.712,1540304,822.4,418816
10.01.2018,73.25,10733078,1215.00,6006239,2.6590,2147131,14.282,1661705,843.0,364950
11.01.2018,65.31,13471884,1226.00,4744351,2.7875,1691746,14.217,1708659,799.8,348245
12.01.2018,50.93,15765289,1281.30,3625821,2.6310,1115310,15.540,1156623,800.6,337265
01.01.2019,45.41,12627425,1325.20,4569294,2.7845,1516835,16.072,1366854,824.7,336084
02.01.2019,53.79,14900538,1316.10,3665639,2.9480,1362273,15.634,1243214,875.2,358526
03.01.2019,57.22,10723037,1298.50,4909575,2.9360,1363191,15.110,1269198,854.1,470656
04.01.2019,60.14,12743714,1285.70,4727479,2.9040,1405736,14.984,1368497,891.7,376223
05.01.2019,63.91,13961367,1311.10,5709519,2.6400,1612632,14.567,2325456,794.2,386540
06.01.2019,53.50,17133697,1413.70,6741103,2.7135,1437396,15.341,1928385,841.1,428880
07.01.2019,58.47,13328671,1437.80,7665096,2.6660,1427408,16.405,1900007,878.9,428580
08.01.2019,58.58,12776783,1529.40,8781280,2.5515,1497678,18.342,2234774,931.7,465018
09.01.2019,55.10,14539419,1472.90,7939727,2.5785,1225203,16.998,2417812,889.2,560542
10.01.2019,54.07,13905974,1514.80,7404028,2.6380,1351364,18.067,1681973,933.7,387696
11.01.2019,54.18,11809470,1472.70,6812486,2.6615,1288838,17.106,1784172,900.4,376205
12.01.2019,55.17,9994529,1523.10,4675663,2.7970,1261711,17.921,1377526,977.8,405408
01.01.2020,61.06,9249931,1587.90,7402590,2.5170,1588020,18.012,1831774,961.9,440451
02.01.2020,51.56,12838272,1642.50,7019527,2.5715,1783335,17.735,1698366,905.5,419990
03.01.2020,47.09,13993700,1596.60,7935895,2.2280,1906152,14.156,1904520,729.9,512857
04.01.2020,20.48,17115950,1694.20,3832046,2.3440,1092880,14.973,969629,813.0,193874
05.01.2020,18.84,16734400,1751.70,3892934,2.4255,1028871,18.499,1074599,874.6,216221
06.01.2020,35.49,7454901,1800.50,4042430,2.7285,1451688,18.637,1350688,851.2,264615
07.01.2020,39.27,7207381,1985.90,5334955,2.8680,1510244,24.216,2374401,918.9,294689
08.01.2020,40.27,7088736,1978.60,7090155,3.0615,1513386,28.494,3701424,937.9,276237
09.01.2020,42.61,6463560,1895.50,5818873,3.0325,1638336,23.494,2062660,909.2,341979
10.01.2020,40.22,6895470,1879.90,4313259,3.0475,1502074,23.646,1519443,848.4,258348
11.01.2020,35.79,7575467,1780.90,4756919,3.4380,1533161,22.593,1723209,965.9,255549
12.01.2020,45.34,7234998,1895.10,3745465,3.5190,1336578,26.412,1571106,1079.2,331877
01.01.2021,48.52,6419616,1850.30,4398589,3.5560,1461059,26.914,1831985,1079.2,261682
02.01.2021,52.20,7324817,1728.80,4232272,4.0925,1971218,26.440,1897205,1185.3,341840
03.01.2021,61.50,8493435,1715.60,4912314,3.9955,1972620,24.532,1439741,1191.5,373484
04.01.2021,59.16,10892682,1767.70,3335270,4.4680,1579758,25.873,1248459,1205.2,261899
05.01.2021,63.58,7726285,1905.30,4939051,4.6775,1884277,28.014,1370004,1182.4,278099
06.01.2021,66.32,8000058,1771.60,4492691,4.2890,1815406,26.194,1479288,1072.9,360916
07.01.2021,73.47,8207761,1817.20,4055795,4.4825,1522257,25.547,1160248,1048.4,278662
08.01.2021,73.95,8766506,1818.10,3564563,4.3750,1279192,24.006,1217064,1014.1,277989
