time,value,volume
04/01/2009,891.20,365870
05/01/2009,980.30,1999095
06/01/2009,927.40,2083586
07/01/2009,955.80,2083774
08/01/2009,953.50,1615115
09/01/2009,1009.30,2544135
10/01/2009,1040.40,3022215
11/01/2009,1182.30,3586587
12/01/2009,1096.20,3771906
01/01/2010,1083.80,3540074
02/01/2010,1118.90,3364556
03/01/2010,1114.50,3421185
04/01/2010,1180.70,2729155
05/01/2010,1215.00,3783858
06/01/2010,1245.90,2660068
07/01/2010,1183.90,2940464
08/01/2010,1250.30,1959218
09/01/2010,1309.60,2417530
10/01/2010,1357.60,3428197
11/01/2010,1386.10,4290669
12/01/2010,1421.40,2627236
01/01/2011,1334.50,3473651
02/01/2011,1409.90,2516958
03/01/2011,1439.90,3595653
04/01/2011,1556.40,2912209
05/01/2011,1536.80,3970952
06/01/2011,1502.80,2858552
07/01/2011,1631.20,3261197
08/01/2011,1831.70,5780274
09/01/2011,1622.30,4914530
10/01/2011,1725.20,2915970
11/01/2011,1750.30,3193206
12/01/2011,1566.80,2687602
01/01/2012,2740.40,3068083
02/01/2012,1711.30,3233301
03/01/2012,1671.90,3757583
04/01/2012,1664.20,2582641
05/01/2012,1562.20,3869538
06/01/2012,1604.20,3269604
07/01/2012,1614.60,2947416
08/01/2012,1687.60,2558245
09/01/2012,1773.90,3160078
10/01/2012,1719.10,2811777
11/01/2012,1712.70,3341681
12/01/2012,1675.80,2451282
01/01/2013,1662.00,3217555
02/01/2013,1578.10,3309211
03/01/2013,1595.70,2876324
04/01/2013,1472.10,4688008
05/01/2013,1393.00,3895247
06/01/2013,1223.70,3251657
07/01/2013,1313.00,3385058
08/01/2013,1396.10,3020890
09/01/2013,1317.00,2946975
10/01/2013,1323.70,3068560
11/01/2013,1250.60,2485262
12/01/2013,1202.30,2458915
01/01/2014,1239.80,2644261
02/01/2014,1321.60,2271764
03/01/2014,1283.80,3125338
04/01/2014,1295.90,2343503
05/01/2014,1246.00,2651091
06/01/2014,1322.00,2241939
07/01/2014,1282.80,2773139
08/01/2014,1287.40,2066410
