time,value,volume
04/01/2009,51.12,1126103
05/01/2009,66.31,5254102
06/01/2009,69.89,5806679
07/01/2009,69.45,6285048
08/01/2009,69.96,6181001
09/01/2009,70.61,5938598
10/01/2009,77.00,7227331
11/01/2009,77.28,6674756
12/01/2009,79.36,5976252
01/01/2010,72.89,5809481
02/01/2010,79.66,6769263
03/01/2010,83.76,6836560
04/01/2010,86.15,7854674
05/01/2010,73.97,8794637
06/01/2010,75.63,7677057
07/01/2010,78.95,6459054
08/01/2010,71.92,7184119
09/01/2010,79.97,7253201
10/01/2010,81.43,7153402
11/01/2010,84.11,7256146
12/01/2010,91.38,5666635
01/01/2011,92.19,7558122
02/01/2011,96.97,6918082
03/01/2011,106.72,7280735
04/01/2011,113.93,5906063
05/01/2011,102.70,8125668
06/01/2011,95.42,7612897
07/01/2011,95.70,5712768
08/01/2011,88.81,8623260
09/01/2011,79.20,6687717
10/01/2011,93.19,7300786
11/01/2011,100.36,6520843
12/01/2011,98.83,4905263
01/01/2012,98.48,5618422
02/01/2012,107.07,5837415
03/01/2012,103.01,6022417
04/01/2012,104.87,4682534
05/01/2012,86.53,6008992
06/01/2012,84.96,6321933
07/01/2012,88.06,5496180
08/01/2012,96.47,5267722
09/01/2012,92.19,4549667
10/01/2012,86.24,5239421
11/01/2012,88.91,5396754
12/01/2012,91.81,3789627
01/01/2013,97.49,4376770
02/01/2013,92.05,4427942
03/01/2013,97.23,4416658
04/01/2013,93.46,5520939
05/01/2013,91.97,5644803
06/01/2013,96.56,5004466
07/01/2013,105.03,5446051
08/01/2013,107.65,5353593
09/01/2013,102.33,4589286
10/01/2013,96.38,5269518
11/01/2013,92.72,4225363
12/01/2013,98.42,3579830
01/01/2014,97.49,4087152
02/01/2014,102.59,3855218
03/01/2014,101.58,4615240
04/01/2014,99.74,4637086
05/01/2014,102.71,4313381
06/01/2014,105.37,4132090
07/01/2014,98.17,5162628
08/01/2014,95.96,4564136
09/01/2014,91.16,5587239
10/01/2014,80.54,7247625
11/01/2014,66.15,5901798
12/01/2014,53.27,6435702
01/01/2015,48.24,6782484
02/01/2015,49.76,8600409
03/01/2015,47.60,7740929
04/01/2015,59.63,7594982
05/01/2015,60.30,6071200
06/01/2015,59.47,6182269
07/01/2015,47.12,6771643
08/01/2015,49.20,8299255
09/01/2015,45.09,7957089
10/01/2015,46.59,7992673
11/01/2015,41.65,7959275
12/01/2015,37.04,8581051
01/01/2016,33.62,10353997
02/01/2016,33.75,11452422
03/01/2016,38.34,11252407
03/01/2016,45.92,12290430
04/01/2016,45.92,12290430
05/01/2016,49.10,11641370
06/01/2016,48.33,10576910
07/01/2016,41.60,9594050
08/01/2016,44.70,11719449
09/01/2016,48.24,12732986
10/01/2016,46.86,11203883
11/01/2016,49.44,13897238
12/01/2016,53.72,10550815
01/01/2017,52.81,10631278
02/01/2017,69.96,9382612
03/01/2017,50.60,13072707
04/01/2017,49.33,10425971
05/01/2017,48.32,14606934
06/01/2017,46.04,15974636
07/01/2017,50.17,15411812
08/01/2017,47.23,18110208
09/01/2017,51.67,12999749
10/01/2017,54.38,12980525
11/01/2017,57.40,13075115
12/01/2017,60.42,9688273
01/01/2018,64.73,13395637
02/01/2018,61.64,12611332
03/01/2018,64.94,13034210
04/01/2018,68.57,13646721
05/01/2018,67.04,15719089
06/01/2018,74.15,13625467
07/01/2018,68.76,11593700
08/01/2018,69.80,10740897
09/01/2018,73.25,10733078
10/01/2018,65.31,13471884
11/01/2018,50.93,15765289
12/01/2018,45.41,12627425
01/01/2019,53.79,14900538
02/01/2019,57.22,10723037
03/01/2019,60.14,12743714
04/01/2019,63.91,13961367
05/01/2019,53.50,17133697
06/01/2019,58.47,13328671
07/01/2019,58.58,12776783
08/01/2019,55.10,14539419
09/01/2019,54.07,13905974
10/01/2019,54.18,11809470
11/01/2019,55.17,9994529
12/01/2019,61.06,9249931
01/01/2020,51.56,12838272
02/01/2020,47.09,13993700
03/01/2020,20.48,17115950
04/01/2020,18.84,16734400
05/01/2020,35.49,7454901
06/01/2020,39.27,7207381
07/01/2020,40.27,7088736
08/01/2020,42.61,6463560
09/01/2020,40.22,6895470
10/01/2020,35.79,7575467
11/01/2020,45.34,7234998
12/01/2020,48.52,6419616
01/01/2021,52.20,7324817
02/01/2021,61.50,8493435
03/01/2021,59.16,10892682
04/01/2021,63.58,7726285
05/01/2021,66.32,8000058
06/01/2021,73.47,8207761
07/01/2021,73.95,8766506
08/01/2021,86.50,8448818
09/01/2021,75.03,7933631
10/01/2021,83.57,10007913
11/01/2021,66.18,9855744
12/01/2021,75.21,7635716
01/01/2022,88.15,8283340
02/01/2022,95.72,8836456
03/01/2022,100.28,8931960
04/01/2022,104.69,5450081
05/01/2022,114.67,5358561
06/01/2022,105.76,6382853
07/01/2022,98.62,6264090
08/01/2022,89.55,6607064
09/01/2022,79.49,5827899
10/01/2022,86.53,5737930
11/01/2022,80.55,6294313
12/01/2022,80.26,5439023
01/01/2023,78.87,5582394
02/01/2023,77.05,5801196
03/01/2023,75.67,7648467
04/01/2023,76.78,5813047
05/01/2023,68.09,6679970
06/01/2023,70.64,6573802
07/01/2023,81.80,6409560
08/01/2023,83.63,7339170
09/01/2023,90.79,6995210
10/01/2023,81.02,7460394
11/01/2023,75.96,6171766
12/01/2023,71.65,5207265
01/01/2024,75.85,6933007
